2025-11-25 21:49:46,357 | DEBUG | matplotlib | matplotlib data path: C:\Users\Pushpak Chakraborty\Desktop\Final Year Project\venv\lib\site-packages\matplotlib\mpl-data
2025-11-25 21:49:46,357 | DEBUG | matplotlib | CONFIGDIR=C:\Users\Pushpak Chakraborty\.matplotlib
2025-11-25 21:49:46,357 | DEBUG | matplotlib | interactive is False
2025-11-25 21:49:46,357 | DEBUG | matplotlib | platform is win32
2025-11-25 21:49:46,659 | DEBUG | matplotlib | CACHEDIR=C:\Users\Pushpak Chakraborty\.matplotlib
2025-11-25 21:49:46,662 | DEBUG | matplotlib.font_manager | Using fontManager instance from C:\Users\Pushpak Chakraborty\.matplotlib\fontlist-v330.json
2025-11-25 21:49:49,649 | DEBUG | root | forward
2025-11-25 21:49:49,702 | DEBUG | root | forward
2025-11-25 21:49:49,781 | DEBUG | root | forward
2025-11-25 21:49:49,845 | DEBUG | root | forward
2025-11-25 21:49:49,941 | DEBUG | root | forward
2025-11-25 21:49:50,048 | DEBUG | root | forward
2025-11-25 21:49:50,188 | DEBUG | root | forward
2025-11-25 21:49:50,304 | DEBUG | root | forward
2025-11-25 21:49:50,462 | DEBUG | root | forward
2025-11-25 21:49:50,619 | DEBUG | root | Destroy Big
2025-11-25 21:49:50,771 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:50,784 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:50,797 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:50,805 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:50,818 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:50,832 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:50,846 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:50,859 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:50,861 | DEBUG | root | load scene Use random traffic
2025-11-25 21:49:50,888 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:50,908 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:50,941 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:50,950 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:50,957 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:50,969 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,001 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,009 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,020 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,029 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,039 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,047 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,056 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,061 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,076 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,084 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,096 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,104 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,114 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,124 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,133 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,138 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,151 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,160 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,165 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,180 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,190 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,194 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,208 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,219 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,228 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,238 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,242 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,258 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,268 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,279 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 21:49:51,291 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
